Description	
Number of Runs	50
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	950	1054	10	03/03/22 02:58:35 PM	
2	950	1041	10	03/03/22 02:58:45 PM	
3	950	1119	10	03/03/22 02:58:56 PM	
4	950	1051	10	03/03/22 02:59:06 PM	
5	950	1094	10	03/03/22 02:59:16 PM	
6	950	1075	10	03/03/22 02:59:26 PM	
7	950	1087	10	03/03/22 02:59:36 PM	
8	950	1111	10	03/03/22 02:59:46 PM	
9	950	1096	10	03/03/22 02:59:56 PM	
10	950	1071	10	03/03/22 03:00:07 PM	
11	950	1099	10	03/03/22 03:00:17 PM	
12	950	1125	10	03/03/22 03:00:27 PM	
13	950	1072	10	03/03/22 03:00:37 PM	
14	950	1076	10	03/03/22 03:00:47 PM	
15	950	1109	10	03/03/22 03:00:57 PM	
16	950	1075	10	03/03/22 03:01:08 PM	
17	950	1084	10	03/03/22 03:01:18 PM	
18	950	1051	10	03/03/22 03:01:28 PM	
19	950	1108	10	03/03/22 03:01:38 PM	
20	950	1042	10	03/03/22 03:01:48 PM	
21	950	1049	10	03/03/22 03:01:58 PM	
22	950	1061	10	03/03/22 03:02:09 PM	
23	950	1089	10	03/03/22 03:02:19 PM	
24	950	1086	10	03/03/22 03:02:29 PM	
25	950	971	10	03/03/22 03:02:39 PM	
26	950	1044	10	03/03/22 03:02:49 PM	
27	950	1127	10	03/03/22 03:02:59 PM	
28	950	1064	10	03/03/22 03:03:09 PM	
29	950	1116	10	03/03/22 03:03:20 PM	
30	950	1046	10	03/03/22 03:03:30 PM	
31	950	1098	10	03/03/22 03:03:40 PM	
32	950	1083	10	03/03/22 03:03:50 PM	
33	950	1035	10	03/03/22 03:04:00 PM	
34	950	1117	10	03/03/22 03:04:10 PM	
35	950	1035	10	03/03/22 03:04:21 PM	
36	950	1020	10	03/03/22 03:04:31 PM	
37	950	1034	10	03/03/22 03:04:41 PM	
38	950	1073	10	03/03/22 03:04:51 PM	
39	950	1088	10	03/03/22 03:05:01 PM	
40	950	1096	10	03/03/22 03:05:11 PM	
41	950	1084	10	03/03/22 03:05:22 PM	
42	950	1065	10	03/03/22 03:05:32 PM	
43	950	1109	10	03/03/22 03:05:42 PM	
44	950	1111	10	03/03/22 03:05:52 PM	
45	950	1096	10	03/03/22 03:06:02 PM	
46	950	1096	10	03/03/22 03:06:12 PM	
47	950	1014	10	03/03/22 03:06:23 PM	
48	950	1113	10	03/03/22 03:06:33 PM	
49	950	1090	10	03/03/22 03:06:43 PM	
50	950	1074	10	03/03/22 03:06:53 PM	
