Description	
Number of Runs	50
Preset Time	20
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	950	131	20	04/07/22 04:15:19 PM	
2	950	136	20	04/07/22 04:15:39 PM	
3	950	135	20	04/07/22 04:15:59 PM	
4	950	143	20	04/07/22 04:16:19 PM	
5	950	147	20	04/07/22 04:16:40 PM	
6	950	124	20	04/07/22 04:17:00 PM	
7	950	121	20	04/07/22 04:17:20 PM	
8	950	110	20	04/07/22 04:17:40 PM	
9	950	128	20	04/07/22 04:18:00 PM	
10	950	121	20	04/07/22 04:18:20 PM	
11	950	118	20	04/07/22 04:18:41 PM	
12	950	133	20	04/07/22 04:19:01 PM	
13	950	135	20	04/07/22 04:19:21 PM	
14	950	136	20	04/07/22 04:19:41 PM	
15	950	119	20	04/07/22 04:20:01 PM	
16	950	113	20	04/07/22 04:20:21 PM	
17	950	114	20	04/07/22 04:20:42 PM	
18	950	134	20	04/07/22 04:21:02 PM	
19	950	106	20	04/07/22 04:21:22 PM	
20	950	144	20	04/07/22 04:21:42 PM	
21	950	134	20	04/07/22 04:22:02 PM	
22	950	134	20	04/07/22 04:22:22 PM	
23	950	131	20	04/07/22 04:22:43 PM	
24	950	136	20	04/07/22 04:23:03 PM	
25	950	136	20	04/07/22 04:23:23 PM	
26	950	138	20	04/07/22 04:23:43 PM	
27	950	136	20	04/07/22 04:24:03 PM	
28	950	153	20	04/07/22 04:24:23 PM	
29	950	136	20	04/07/22 04:24:43 PM	
30	950	137	20	04/07/22 04:25:04 PM	
31	950	107	20	04/07/22 04:25:24 PM	
32	950	136	20	04/07/22 04:25:44 PM	
33	950	139	20	04/07/22 04:26:04 PM	
34	950	153	20	04/07/22 04:26:24 PM	
35	950	122	20	04/07/22 04:26:44 PM	
36	950	121	20	04/07/22 04:27:04 PM	
37	950	147	20	04/07/22 04:27:24 PM	
38	950	138	20	04/07/22 04:27:45 PM	
39	950	120	20	04/07/22 04:28:05 PM	
40	950	122	20	04/07/22 04:28:25 PM	
41	950	112	20	04/07/22 04:28:45 PM	
42	950	133	20	04/07/22 04:29:05 PM	
43	950	129	20	04/07/22 04:29:25 PM	
44	950	149	20	04/07/22 04:29:46 PM	
45	950	143	20	04/07/22 04:30:06 PM	
46	950	125	20	04/07/22 04:30:26 PM	
47	950	132	20	04/07/22 04:30:46 PM	
48	950	131	20	04/07/22 04:31:06 PM	
49	950	113	20	04/07/22 04:31:26 PM	
50	950	152	20	04/07/22 04:31:47 PM	
