Description	
Number of Runs	54
Preset Time	60
Pause Time	0
Alarm Level	0
High Voltage	670
Step Voltage	10
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	670	0	60	04/07/22 02:35:53 PM	
2	680	0	60	04/07/22 02:36:53 PM	
3	690	0	60	04/07/22 02:37:54 PM	
4	700	0	60	04/07/22 02:38:54 PM	
5	710	0	60	04/07/22 02:39:54 PM	
6	720	4599	60	04/07/22 02:40:54 PM	
7	730	6499	60	04/07/22 02:41:54 PM	
8	740	6900	60	04/07/22 02:42:54 PM	
9	750	7128	60	04/07/22 02:43:54 PM	
10	760	7591	60	04/07/22 02:44:55 PM	
11	770	7701	60	04/07/22 02:45:55 PM	
12	780	7937	60	04/07/22 02:46:55 PM	
13	790	7911	60	04/07/22 02:47:55 PM	
14	800	8213	60	04/07/22 02:48:55 PM	
15	810	8208	60	04/07/22 02:49:55 PM	
16	820	8349	60	04/07/22 02:50:55 PM	
17	830	8399	60	04/07/22 02:51:55 PM	
18	840	8597	60	04/07/22 02:52:55 PM	
19	850	8342	60	04/07/22 02:53:55 PM	
20	860	8564	60	04/07/22 02:54:56 PM	
21	870	8601	60	04/07/22 02:55:56 PM	
22	880	8530	60	04/07/22 02:56:56 PM	
23	890	8680	60	04/07/22 02:57:56 PM	
24	900	8723	60	04/07/22 02:58:56 PM	
25	910	8915	60	04/07/22 02:59:56 PM	
26	920	9129	60	04/07/22 03:00:56 PM	
27	930	9044	60	04/07/22 03:01:56 PM	
28	940	9133	60	04/07/22 03:02:57 PM	
29	950	9361	60	04/07/22 03:03:57 PM	
30	960	9258	60	04/07/22 03:04:57 PM	
31	970	9262	60	04/07/22 03:05:57 PM	
32	980	9419	60	04/07/22 03:06:57 PM	
33	990	9342	60	04/07/22 03:07:57 PM	
34	1000	9578	60	04/07/22 03:08:58 PM	
35	1010	9479	60	04/07/22 03:09:58 PM	
36	1020	9597	60	04/07/22 03:10:58 PM	
37	1030	9724	60	04/07/22 03:11:58 PM	
38	1040	9792	60	04/07/22 03:12:58 PM	
39	1050	9653	60	04/07/22 03:13:58 PM	
40	1060	9800	60	04/07/22 03:14:59 PM	
41	1070	9881	60	04/07/22 03:15:59 PM	
42	1080	9957	60	04/07/22 03:16:59 PM	
43	1090	10107	60	04/07/22 03:17:59 PM	
44	1100	10140	60	04/07/22 03:18:59 PM	
45	1110	10338	60	04/07/22 03:19:59 PM	
46	1120	10320	60	04/07/22 03:20:59 PM	
47	1130	10177	60	04/07/22 03:22:00 PM	
48	1140	10203	60	04/07/22 03:23:00 PM	
49	1150	10148	60	04/07/22 03:24:00 PM	
50	1160	10183	60	04/07/22 03:25:00 PM	
51	1170	10502	60	04/07/22 03:26:00 PM	
52	1180	10525	60	04/07/22 03:27:00 PM	
53	1190	10660	60	04/07/22 03:28:00 PM	
54	1200	10543	60	04/07/22 03:29:01 PM	
