Description	
Number of Runs	2
Preset Time	60
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	950	1660	60	03/10/22 02:38:28 PM	
2	950	1683	60	03/10/22 02:39:29 PM	
3	950	947	60	03/10/22 02:40:41 PM	
4	950	943	60	03/10/22 02:41:41 PM	
5	950	902	60	03/10/22 02:43:00 PM	
6	950	871	60	03/10/22 02:44:00 PM	
7	950	818	60	03/10/22 02:45:33 PM	
8	950	767	60	03/10/22 02:46:33 PM	
9	950	764	60	03/10/22 02:48:00 PM	
10	950	755	60	03/10/22 02:49:00 PM	
11	950	711	60	03/10/22 02:50:18 PM	
12	950	696	60	03/10/22 02:51:18 PM	
