Description	
Number of Runs	2
Preset Time	60
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	950	6588	60	04/07/22 05:03:02 PM	
2	950	6533	60	04/07/22 05:04:02 PM	
3	950	3692	60	04/07/22 05:05:06 PM	
4	950	3749	60	04/07/22 05:06:07 PM	
5	950	2649	60	04/07/22 05:10:56 PM	
6	950	2635	60	04/07/22 05:11:56 PM	
7	950	1551	60	04/07/22 05:13:02 PM	
8	950	1543	60	04/07/22 05:14:03 PM	
9	950	941	60	04/07/22 05:15:08 PM	
10	950	926	60	04/07/22 05:16:08 PM	
11	950	509	60	04/07/22 05:17:14 PM	
12	950	423	60	04/07/22 05:18:14 PM	
13	950	303	60	04/07/22 05:19:21 PM	
14	950	274	60	04/07/22 05:20:21 PM	
15	950	151	60	04/07/22 05:23:31 PM	
16	950	170	60	04/07/22 05:24:32 PM	
17	950	81	60	04/07/22 05:25:40 PM	
18	950	70	60	04/07/22 05:26:40 PM	
19	950	38	60	04/07/22 05:27:45 PM	
20	950	47	60	04/07/22 05:28:45 PM	
21	950	45	60	04/07/22 05:29:51 PM	
22	950	36	60	04/07/22 05:30:51 PM	
23	950	48	60	04/07/22 05:31:59 PM	
24	950	41	60	04/07/22 05:32:59 PM	
25	950	50	60	04/07/22 05:34:41 PM	
26	950	38	60	04/07/22 05:35:41 PM	
27	950	40	60	04/07/22 05:36:56 PM	
28	950	42	60	04/07/22 05:37:56 PM	
29	950	43	60	04/07/22 05:39:07 PM	
30	950	55	60	04/07/22 05:40:07 PM	
