Description	
Number of Runs	2
Preset Time	60
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	950	6557	60	03/10/22 02:55:09 PM	
2	950	6686	60	03/10/22 02:56:09 PM	
3	950	3970	60	03/10/22 02:57:19 PM	
4	950	4066	60	03/10/22 02:58:19 PM	
5	950	2962	60	03/10/22 02:59:31 PM	
6	950	2959	60	03/10/22 03:00:31 PM	
7	950	2004	60	03/10/22 03:01:52 PM	
8	950	1999	60	03/10/22 03:02:52 PM	
9	950	1272	60	03/10/22 03:04:12 PM	
10	950	1229	60	03/10/22 03:05:13 PM	
11	950	676	60	03/10/22 03:06:21 PM	
12	950	688	60	03/10/22 03:07:21 PM	
13	950	348	60	03/10/22 03:08:28 PM	
14	950	363	60	03/10/22 03:09:28 PM	
15	950	169	60	03/10/22 03:10:36 PM	
16	950	164	60	03/10/22 03:11:36 PM	
17	950	77	60	03/10/22 03:12:43 PM	
18	950	78	60	03/10/22 03:13:44 PM	
19	950	45	60	03/10/22 03:14:55 PM	
20	950	48	60	03/10/22 03:15:55 PM	
21	950	43	60	03/10/22 03:17:17 PM	
22	950	38	60	03/10/22 03:18:17 PM	
23	950	41	60	03/10/22 03:19:25 PM	
24	950	42	60	03/10/22 03:20:25 PM	
25	950	38	60	03/10/22 03:22:20 PM	
26	950	32	60	03/10/22 03:23:21 PM	
27	950	39	60	03/10/22 03:25:04 PM	
28	950	42	60	03/10/22 03:26:04 PM	
29	950	41	60	03/10/22 03:27:11 PM	
30	950	48	60	03/10/22 03:28:11 PM	
