Description	
Number of Runs	2
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	950	7016	10	03/10/22 03:51:10 PM	
2	950	7166	10	03/10/22 03:51:21 PM	
3	950	2104	10	03/10/22 03:51:41 PM	
4	950	2152	10	03/10/22 03:51:52 PM	
5	950	88	10	03/10/22 03:52:08 PM	
6	950	107	10	03/10/22 03:52:18 PM	
7	950	46	10	03/10/22 03:52:34 PM	
8	950	44	10	03/10/22 03:52:44 PM	
9	950	27	10	03/10/22 03:53:07 PM	
10	950	38	10	03/10/22 03:53:17 PM	
11	950	18	10	03/10/22 03:53:48 PM	
12	950	32	10	03/10/22 03:53:58 PM	
