Description	
Number of Runs	2
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	950
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	950	3930	10	03/10/22 03:29:43 PM	
2	950	3980	10	03/10/22 03:29:53 PM	
3	950	2753	10	03/10/22 03:30:26 PM	
4	950	2688	10	03/10/22 03:30:36 PM	
5	950	1935	10	03/10/22 03:30:57 PM	
6	950	1910	10	03/10/22 03:31:07 PM	
7	950	1104	10	03/10/22 03:31:23 PM	
8	950	1088	10	03/10/22 03:31:33 PM	
9	950	667	10	03/10/22 03:31:50 PM	
10	950	657	10	03/10/22 03:32:00 PM	
11	950	496	10	03/10/22 03:32:20 PM	
12	950	512	10	03/10/22 03:32:30 PM	
